Date,ADRD,ADRU,DAX,DBEU,DBEZ,DBGR,DBUK,DFE,DXGE,EDEN,EDOM,EFNL,EIRL,ENOR,EPV,EUDG,EUDV,EUFN,EUMV,EURL,EURZ,EUSC,EWD,EWG,EWGS,EWI,EWK,EWL,EWN,EWO,EWP,EWQ,EWU,EWUS,EZU,FDD,FEP,FEU,FEUZ,FEZ,FGM,FKU,FSZ,GREK,GRMY,GVAL,GXF,HEDJ,HEWG,HEWI,HEWL,HEWP,HEWU,HEZU,HFXE,IEUR,IEUS,IEV,NORW,OEUR,PGAL,SCID,SMEZ,UPV,VGK,WBIA
2015-12-31,18.87592887878418,18.37732696533203,23.27153968811035,22.1341495513916,24.124757766723633,22.36594581604004,16.02649688720703,50.24962615966797,24.295001983642578,53.076786041259766,21.82526969909668,29.82879066467285,39.90420913696289,17.411962509155273,58.437320709228516,21.027332305908203,37.20965576171875,17.851558685302734,21.48569679260254,23.715335845947266,21.648332595825195,23.075197219848633,25.955169677734375,24.428691864013672,38.84364700317383,25.192834854125977,16.82245635986328,28.87032127380371,22.32498550415039,14.468611717224121,25.405040740966797,22.480825424194336,28.877220153808594,36.208377838134766,32.33010482788086,10.8134765625,27.85772132873535,28.727439880371094,29.719335556030273,31.47220802307129,34.29629135131836,36.62868881225586,37.95766067504883,7.461416721343994,21.597848892211914,16.140426635742188,19.21798324584961,49.8420295715332,22.687482833862305,14.375425338745117,20.360424041748047,18.181821823120117,17.5982723236084,23.70651626586914,15.63008975982666,38.53900146484375,42.025821685791016,36.81110382080078,8.728038787841797,21.04187774658203,8.98528003692627,20.610361099243164,45.246177673339844,38.41482162475586,45.17179489135742,22.234582901000977
2016-01-29,17.794212341308594,17.247241973876953,21.354839324951172,21.260766983032227,22.8429012298584,20.83824348449707,15.474114418029785,47.43205642700195,22.83474349975586,51.43268966674805,20.104345321655273,29.334848403930664,37.23496627807617,16.64771270751953,64.67636108398438,20.027143478393555,34.5245246887207,15.839742660522461,21.075319290161133,19.56759262084961,21.648332595825195,21.788022994995117,24.34520149230957,22.693775177001953,36.128814697265625,22.130821228027344,15.984129905700684,27.121728897094727,21.884851455688477,13.202030181884766,23.688608169555664,21.626537322998047,27.481666564941406,33.030757904052734,30.632404327392578,10.316305160522461,25.89008140563965,27.05723762512207,27.96963882446289,29.552610397338867,31.7105770111084,33.243228912353516,35.20381164550781,6.627162933349609,21.597848892211914,15.229565620422363,18.41088104248047,48.1562385559082,21.17001724243164,12.743657112121582,19.861099243164062,16.96138572692871,17.286670684814453,22.577198028564453,14.597606658935547,36.23979949951172,39.20430374145508,34.83793258666992,8.277676582336426,20.657297134399414,8.5231294631958,19.372344970703125,42.25345230102539,33.83888244628906,42.663246154785156,20.94576644897461
2016-02-29,16.883771896362305,16.79879379272461,20.700355529785156,20.592891693115234,21.912399291992188,19.962610244750977,15.641282081604004,46.73215103149414,21.96771812438965,50.27326965332031,19.091508865356445,27.413949966430664,35.861942291259766,16.87790870666504,68.00051879882812,19.629871368408203,34.073707580566406,14.855798721313477,20.473424911499023,17.508359909057617,21.656110763549805,21.346435546875,24.407466888427734,21.789011001586914,35.63094711303711,20.682329177856445,15.24826431274414,26.34974479675293,21.29488754272461,13.072598457336426,22.50238037109375,21.07867431640625,26.622867584228516,32.261531829833984,29.34067726135254,10.156499862670898,25.40052032470703,25.919696807861328,27.38451385498047,28.282020568847656,31.51167106628418,32.002193450927734,35.355228424072266,6.045997142791748,21.597848892211914,15.047393798828125,17.854877471923828,46.29446029663086,20.2949161529541,11.871617317199707,19.180984497070312,16.124006271362305,17.06166648864746,21.576419830322266,14.463432312011719,35.13581085205078,38.57316589355469,33.75497817993164,8.349735260009766,20.0253849029541,7.9543280601501465,18.96257972717285,41.10312271118164,31.377872467041016,41.28671646118164,20.562070846557617
2016-03-31,17.824674606323242,17.429319381713867,22.71990203857422,21.123769760131836,22.73223304748535,21.089754104614258,15.961082458496094,51.17385482788086,23.199810028076172,53.7135124206543,21.188884735107422,29.197641372680664,38.59839630126953,18.065717697143555,58.79669189453125,20.97120475769043,35.839378356933594,15.734319686889648,21.46746063232422,21.402359008789062,21.656110763549805,22.46449851989746,26.195331573486328,23.99962615966797,39.247581481933594,22.369184494018555,16.44986915588379,27.651885986328125,23.03668785095215,14.53332805633545,24.425506591796875,22.45296859741211,28.0542049407959,34.734039306640625,31.730375289916992,10.829472541809082,27.366031646728516,27.35528564453125,29.8658504486084,30.43316650390625,34.67729949951172,34.51897048950195,37.95766067504883,7.058350563049316,21.597848892211914,16.90554428100586,18.92204475402832,48.2140007019043,21.421377182006836,12.347273826599121,19.40481948852539,16.845577239990234,17.559612274169922,22.356843948364258,15.194442749023438,37.48063278198242,41.6081657409668,35.893348693847656,8.998257637023926,21.302425384521484,9.011941909790039,20.66267204284668,44.61956787109375,35.77116012573242,44.1879768371582,21.122854232788086
2016-04-29,18.341989517211914,18.16194725036621,23.077064514160156,21.560457229614258,23.073450088500977,21.350584030151367,16.222740173339844,51.37127685546875,23.510112762451172,54.40726852416992,21.672897338867188,29.39887809753418,38.39675521850586,19.621835708618164,55.27288055419922,21.01814079284668,36.562557220458984,16.551347732543945,21.79576301574707,22.846750259399414,21.656110763549805,22.755754470825195,26.88912582397461,24.465999603271484,39.52939987182617,23.30428695678711,16.692052841186523,28.470375061035156,23.14906120300293,15.014073371887207,25.917274475097656,22.982255935668945,29.181381225585938,35.09117889404297,32.54231643676758,11.2210054397583,27.85655975341797,28.438575744628906,30.229782104492188,31.229942321777344,35.22683334350586,34.894683837890625,38.53492736816406,7.358306407928467,21.597848892211914,17.58868980407715,19.37940216064453,48.61330032348633,21.70997428894043,12.763473510742188,19.814611434936523,17.667810440063477,17.977148056030273,22.788372039794922,15.52640438079834,38.684974670410156,42.40635681152344,36.99465560913086,9.781888961791992,21.761133193969727,9.145255088806152,20.688827514648438,45.34904479980469,37.94377136230469,45.40833282470703,20.838525772094727
2016-05-31,18.278457641601562,18.06245231628418,22.729251861572266,21.93720817565918,23.654436111450195,21.807029724121094,16.266347885131836,52.286529541015625,24.212860107421875,55.67122268676758,21.565336227416992,29.50864028930664,39.06886672973633,19.08778190612793,55.4226188659668,20.95055389404297,36.68464660644531,16.454708099365234,21.84136199951172,22.261184692382812,21.656110763549805,23.451013565063477,26.284276962280273,24.186176300048828,40.44999694824219,22.27750587463379,17.018070220947266,28.4052677154541,23.326988220214844,14.255972862243652,25.10848617553711,22.935827255249023,28.841442108154297,35.906185150146484,31.361312866210938,11.105323791503906,27.950897216796875,28.320232391357422,30.191970825195312,31.037616729736328,34.83837127685547,35.453651428222656,38.18478012084961,7.883230209350586,21.597848892211914,16.923763275146484,19.110366821289062,49.7555046081543,22.128904342651367,12.578496932983398,20.54982566833496,17.62950897216797,18.05524253845215,23.26580810546875,15.608305931091309,38.511627197265625,43.09317398071289,36.6826171875,9.529685974121094,21.548999786376953,8.976391792297363,20.74985694885254,45.124595642089844,37.588077545166016,45.180660247802734,21.43768310546875
2016-06-30,17.97021484375,17.472867965698242,21.53959083557129,21.706140518188477,22.376996994018555,20.734943389892578,17.00069808959961,47.07268142700195,22.984848022460938,53.20375442504883,19.266157150268555,29.399744033813477,34.77362060546875,19.039302825927734,56.88005828857422,20.486122131347656,36.26076126098633,14.30363941192627,21.471569061279297,18.152481079101562,16.90304183959961,21.891159057617188,25.290864944458008,22.979726791381836,38.355323791503906,20.171260833740234,16.630895614624023,28.310457229614258,21.99262237548828,13.33928108215332,22.91295051574707,21.78371238708496,27.83755111694336,31.478872299194336,30.515405654907227,10.80089282989502,26.180686950683594,27.713693618774414,28.386554718017578,29.2977294921875,33.19139099121094,30.709156036376953,37.245723724365234,6.777141094207764,15.98789119720459,16.909440994262695,18.41088104248047,47.92218017578125,21.104848861694336,11.653606414794922,19.85249137878418,16.18636131286621,18.929744720458984,22.099761962890625,15.071372032165527,36.86082077026367,39.3219108581543,35.4940299987793,9.44862174987793,21.646080017089844,8.363152503967285,19.503122329711914,41.110347747802734,33.435123443603516,43.339603424072266,21.22320556640625
2016-07-29,18.61496925354004,18.197845458984375,22.953256607055664,22.39578628540039,23.3751220703125,22.004432678222656,17.439664840698242,50.07987976074219,24.28908920288086,55.01052474975586,20.48023796081543,30.964351654052734,36.08948516845703,18.926532745361328,52.68742370605469,21.258283615112305,36.9776611328125,14.850624084472656,21.751028060913086,20.016525268554688,18.195796966552734,23.18503189086914,25.919668197631836,24.50852394104004,41.037052154541016,20.80335235595703,17.053478240966797,28.845157623291016,22.876127243041992,14.271240234375,24.087034225463867,22.812416076660156,28.254117965698242,32.80595779418945,31.990591049194336,10.929696083068848,27.607507705688477,28.252004623413086,29.89851951599121,30.6136417388916,35.312034606933594,31.854406356811523,38.20124053955078,7.039602756500244,17.44667625427246,17.604347229003906,18.895139694213867,50.217288970947266,22.376216888427734,11.886484146118164,20.64043426513672,16.901784896850586,19.365558624267578,23.015274047851562,15.441978454589844,38.10226821899414,41.56104278564453,36.583553314208984,9.403584480285645,21.898500442504883,8.923067092895508,20.263368606567383,43.64411926269531,35.92497253417969,44.844322204589844,22.1411190032959
2016-08-31,18.633390426635742,18.13360595703125,23.47962188720703,22.652191162109375,23.698322296142578,22.56223487854004,17.75959014892578,50.347389221191406,24.893951416015625,54.1648063659668,20.706226348876953,31.226688385009766,37.647239685058594,19.076892852783203,51.8089714050293,21.096223831176758,36.356292724609375,15.780494689941406,21.490201950073242,20.348344802856445,18.195796966552734,23.194543838500977,26.40976905822754,25.043603897094727,41.313812255859375,20.98926544189453,17.0628662109375,28.816513061523438,23.598133087158203,14.694860458374023,24.30717658996582,22.736215591430664,28.56201934814453,33.46487045288086,32.349918365478516,10.938897132873535,27.99054527282715,28.187036514282227,30.74810218811035,30.876815795898438,35.67667007446289,32.31619644165039,38.625911712646484,6.889624118804932,17.57395362854004,17.81745147705078,18.50055694580078,50.966514587402344,22.929658889770508,12.04442310333252,20.67580795288086,17.13814353942871,19.71405792236328,23.35540008544922,15.779936790466309,38.270286560058594,41.9861946105957,36.76200485229492,9.44862174987793,21.787158966064453,8.958617210388184,20.479583740234375,44.11985778808594,36.63636016845703,45.15083694458008,21.861711502075195
2016-09-30,18.707172393798828,18.030200958251953,23.49842071533203,22.80249786376953,23.79338264465332,22.494916915893555,18.15391731262207,51.27018356323242,24.855609893798828,53.367130279541016,20.694604873657227,32.26663589477539,36.77644348144531,20.232786178588867,50.561161041259766,21.296045303344727,36.16852569580078,15.643750190734863,21.574037551879883,20.709442138671875,18.434911727905273,23.32765769958496,26.881370544433594,25.100933074951172,42.23953628540039,20.4873104095459,17.710826873779297,29.169797897338867,23.807132720947266,15.363235473632812,24.600696563720703,23.01243782043457,28.688796997070312,33.7525520324707,32.61470413208008,10.932317733764648,28.389951705932617,28.199270248413086,30.722719192504883,30.919422149658203,35.98191833496094,32.02339172363281,39.74550247192383,6.73027229309082,17.12359046936035,18.220876693725586,18.482622146606445,51.11719512939453,22.862863540649414,11.735413551330566,20.693492889404297,17.29328155517578,20.047510147094727,23.421539306640625,15.833778381347656,38.61565017700195,43.063255310058594,36.987430572509766,10.034093856811523,21.641921997070312,8.789754867553711,20.62343978881836,45.10939025878906,37.01128005981445,45.50691223144531,21.48687171936035
2016-10-31,18.06721305847168,17.44709014892578,23.22583770751953,22.820180892944336,24.08806610107422,22.706497192382812,18.16135597229004,49.453670501708984,25.149702072143555,50.81073760986328,20.79079246520996,30.139888763427734,35.044532775878906,20.063627243041992,54.144866943359375,20.034339904785156,33.17510223388672,16.181617736816406,20.30716896057129,18.435501098632812,19.051156997680664,23.55692481994629,25.466562271118164,24.756954193115234,40.46444320678711,20.970674514770508,16.809316635131836,27.699371337890625,23.256132125854492,15.476201057434082,25.178565979003906,22.90766143798828,27.167421340942383,31.107664108276367,32.28373336791992,10.673345565795898,27.49555015563965,27.267066955566406,30.877349853515625,30.740100860595703,35.0605354309082,29.84678077697754,38.42322540283203,6.824008941650391,17.417306900024414,18.743345260620117,17.33474349975586,51.66888427734375,23.082332611083984,12.264161109924316,20.081531524658203,18.078094482421875,20.16631507873535,23.742765426635742,15.65636920928955,37.34619903564453,40.654048919677734,35.81337356567383,9.962035179138184,20.29905891418457,8.754204750061035,19.895448684692383,44.10463333129883,34.86750793457031,43.90067672729492,20.375141143798828
2016-11-30,18.011568069458008,17.206439971923828,22.351696014404297,22.687559127807617,23.916959762573242,22.58146858215332,17.83399200439453,48.35078811645508,25.13072967529297,46.98575973510742,20.37396812438965,29.34353256225586,35.21870040893555,20.04483413696289,56.6804084777832,19.44171905517578,32.72300338745117,16.382179260253906,19.375646591186523,17.059425354003906,19.051156997680664,23.127050399780273,25.420324325561523,23.72501564025879,37.98312759399414,20.21773910522461,16.08623504638672,27.069190979003906,22.353626251220703,15.146719932556152,23.087228775024414,22.336162567138672,27.221755981445312,31.618083953857422,30.9976749420166,10.534611701965332,27.062774658203125,26.577232360839844,29.508888244628906,29.616958618164062,33.054603576660156,29.9215145111084,38.45218276977539,7.433295726776123,17.877458572387695,17.903671264648438,16.832550048828125,51.16475296020508,22.93920135498047,12.27789306640625,20.18323516845703,17.238523483276367,19.706138610839844,23.619943618774414,15.299774169921875,36.552791595458984,39.71871566772461,34.92108917236328,9.907991409301758,19.323352813720703,8.194291114807129,19.241567611694336,42.05516052246094,32.68528366088867,42.87343215942383,22.72748374938965
2016-12-30,18.67786979675293,17.94400978088379,23.896955490112305,24.000730514526367,25.658279418945312,24.23565101623535,18.69200325012207,51.042884826660156,27.028104782104492,49.03540802001953,21.40558624267578,30.839008331298828,36.510589599609375,20.657020568847656,51.35975646972656,20.247961044311523,33.686275482177734,17.374082565307617,20.03438377380371,19.499277114868164,19.527437210083008,24.938282012939453,26.57154083251953,25.310333251953125,39.649227142333984,22.71314811706543,16.59560203552246,28.146577835083008,23.239484786987305,15.614328384399414,24.94431495666504,23.583009719848633,28.177087783813477,31.997962951660156,32.93251419067383,11.053342819213867,28.07257843017578,28.004688262939453,31.488130569458008,31.680274963378906,34.88777160644531,30.55674934387207,39.38839340209961,7.44527006149292,17.877458572387695,18.922082901000977,17.66040802001953,54.80560302734375,24.665353775024414,13.87203598022461,21.043630599975586,18.713594436645508,20.7166748046875,25.291444778442383,16.184545516967773,38.3129997253418,41.67750930786133,36.72804641723633,10.237203598022461,20.277109146118164,8.630364418029785,19.94864845275879,44.5257453918457,35.79038619995117,44.98337173461914,22.860475540161133
2017-01-31,19.070693969726562,18.39238166809082,24.715734481811523,24.076414108276367,25.686992645263672,24.591489791870117,18.728870391845703,53.07077407836914,27.369630813598633,51.81462860107422,22.114269256591797,31.063968658447266,37.50288772583008,21.79671859741211,48.15538787841797,20.95673179626465,33.559879302978516,18.04302215576172,20.36860466003418,21.207170486450195,20.55775260925293,25.27913475036621,28.20856475830078,26.294836044311523,41.71588134765625,22.27220916748047,16.87993621826172,29.35995864868164,23.807241439819336,16.483366012573242,25.857025146484375,23.90802764892578,28.874858856201172,33.318634033203125,33.63685607910156,11.099903106689453,29.32281494140625,28.650949478149414,32.73771667480469,32.21049880981445,36.452205657958984,31.341449737548828,40.98091506958008,7.235005855560303,20.236970901489258,20.064903259277344,18.479658126831055,54.83424377441406,25.047168731689453,13.298242568969727,21.318944931030273,18.996337890625,20.8356876373291,25.23439598083496,16.581214904785156,39.46173095703125,43.18025588989258,37.702789306640625,10.821391105651855,20.61001968383789,8.5469331741333,20.545419692993164,46.1688346862793,37.7995719909668,46.315792083740234,23.010189056396484
2017-02-28,19.388694763183594,18.766019821166992,24.83950424194336,24.662948608398438,26.22293472290039,25.072357177734375,19.281890869140625,53.34177780151367,27.86294937133789,51.46842575073242,21.83795738220215,31.354555130004883,38.135231018066406,21.340837478637695,47.596370697021484,21.3781681060791,34.6609992980957,17.566516876220703,20.751922607421875,21.49995231628418,20.55775260925293,25.810209274291992,28.032838821411133,26.304391860961914,42.18470764160156,22.187772750854492,16.93680191040039,29.656139373779297,24.4904727935791,16.436132431030273,25.687654495239258,23.812435150146484,29.297191619873047,33.69596862792969,33.70347595214844,11.2023344039917,29.428606033325195,28.94129753112793,32.390769958496094,32.3714485168457,36.50979232788086,31.687091827392578,41.80130386352539,7.368810176849365,19.590797424316406,20.196046829223633,18.367942810058594,56.906166076660156,25.543529510498047,13.468085289001465,21.984882354736328,19.211671829223633,21.38495635986328,25.785863876342773,16.6385555267334,39.70654296875,43.750919342041016,37.94883728027344,10.589570999145508,20.941207885742188,8.769413948059082,20.781789779663086,46.464969635009766,38.05913162231445,46.58791732788086,23.521373748779297
2017-03-31,19.81158447265625,19.31517791748047,26.020071029663086,25.599517822265625,27.69677734375,26.091793060302734,19.586050033569336,55.192108154296875,28.868558883666992,53.27635955810547,23.39944839477539,32.760589599609375,38.97187042236328,20.84697151184082,43.45364761352539,22.263166427612305,35.84022521972656,18.620323181152344,21.55443000793457,24.418012619018555,20.55775260925293,27.306875228881836,29.19817543029785,27.480060577392578,44.53839874267578,24.14855194091797,17.780324935913086,30.554229736328125,25.799196243286133,17.163476943969727,28.613977432250977,25.341938018798828,29.88478660583496,34.51667404174805,35.787940979003906,11.525618553161621,30.771678924560547,30.337575912475586,34.571502685546875,34.48440170288086,37.96833419799805,32.67899703979492,43.29730987548828,7.6077470779418945,20.81460952758789,20.645679473876953,18.963760375976562,60.05821990966797,26.564889907836914,14.601901054382324,22.650819778442383,21.321027755737305,21.687057495117188,27.269119262695312,17.277454376220703,41.40139389038086,45.21562194824219,39.60496139526367,10.385568618774414,21.941593170166016,9.51101303100586,21.691326141357422,49.49321746826172,41.75064468383789,48.65189743041992,23.28663444519043
2017-04-28,20.131731033325195,19.748167037963867,26.73412322998047,26.025230407714844,28.456668853759766,26.418781280517578,19.475444793701172,59.05162811279297,29.181623458862305,57.2095832824707,23.472885131835938,35.15084457397461,41.00510025024414,20.97043800354004,40.019683837890625,23.460712432861328,37.719486236572266,19.500024795532227,22.271968841552734,27.11160659790039,20.55775260925293,28.455923080444336,30.62247657775879,28.368982315063477,47.06431198120117,24.814655303955078,18.424816131591797,31.758056640625,27.021316528320312,18.504819869995117,30.03479766845703,26.7854061126709,30.389751434326172,37.07311248779297,37.34890365600586,11.842924118041992,32.60160827636719,31.177927017211914,36.2090950012207,35.88844299316406,39.46708297729492,34.54502868652344,45.58475112915039,8.190752029418945,21.372669219970703,21.376333236694336,19.95989227294922,61.999271392822266,26.8798885345459,14.716660499572754,23.401676177978516,21.97358512878418,21.311721801757812,27.9251766204834,17.862171173095703,43.02561569213867,48.2686767578125,41.02449035644531,10.394842147827148,22.64905548095703,9.631523132324219,22.873180389404297,51.99605941772461,45.12491989135742,50.548160552978516,23.779993057250977
2017-05-31,20.950937271118164,20.689453125,27.914690017700195,26.782052993774414,29.055776596069336,26.822710037231445,20.231237411499023,61.51873779296875,29.72711753845215,60.18113327026367,25.978984832763672,37.231773376464844,42.46436309814453,21.521291732788086,36.26628112792969,24.75821304321289,39.550819396972656,20.068164825439453,23.85810089111328,31.00560760498047,22.07406997680664,29.21874237060547,31.491857528686523,29.649791717529297,51.12109375,26.146860122680664,19.211469650268555,33.37270736694336,28.339662551879883,19.98784828186035,31.39915657043457,28.09503936767578,31.776113510131836,37.53534698486328,39.19540786743164,12.64551830291748,34.02702331542969,32.915283203125,38.089759826660156,37.510684967041016,41.78246307373047,35.20142364501953,48.11347961425781,8.821545600891113,22.61606216430664,21.985212326049805,20.965335845947266,62.43912887573242,27.29988670349121,15.07470703125,24.036327362060547,22.31999397277832,22.37364387512207,28.46713638305664,18.44688606262207,45.120643615722656,50.20893859863281,42.95505905151367,10.710118293762207,24.031660079956055,10.71611213684082,23.969655990600586,55.167598724365234,48.9029541015625,53.029335021972656,23.26689910888672
